serial_num,po_num,operator_en,shift,date_time,suit_size,remarks,status
K20160480133,250270A,KE0412,A,2026-06-16 10:11:49,L,,1
K20160480133,250270A,KE0412,A,2026-06-16 10:15:04,L,,1
